packet_id,timestamp,device_address,packet_length,payload_size,packets_per_second,is_anomaly,large_packet_anomaly,high_frequency_anomaly,anomaly_type,severity
201,2026-09-24 02:27:21.584095+00:00,aa:bb:cc:dd:ee:99,32,17,101.26582765582462,True,False,True,High Frequency,HIGH
202,2026-09-24 02:27:21.594095+00:00,aa:bb:cc:dd:ee:99,32,17,101.26582765582462,True,False,True,High Frequency,HIGH
203,2026-09-24 02:27:21.604095+00:00,aa:bb:cc:dd:ee:99,33,18,101.26582765582462,True,False,True,High Frequency,HIGH
204,2026-09-24 02:27:21.614095+00:00,aa:bb:cc:dd:ee:99,32,17,101.26582765582462,True,False,True,High Frequency,HIGH
205,2026-09-24 02:27:21.624095+00:00,aa:bb:cc:dd:ee:99,26,11,101.26582765582462,True,False,True,High Frequency,HIGH
206,2026-09-24 02:27:21.634095+00:00,aa:bb:cc:dd:ee:99,34,19,101.26582765582462,True,False,True,High Frequency,HIGH
207,2026-09-24 02:27:21.644095+00:00,aa:bb:cc:dd:ee:99,32,17,101.26582765582462,True,False,True,High Frequency,HIGH
208,2026-09-24 02:27:21.654095+00:00,aa:bb:cc:dd:ee:99,30,15,101.26582765582462,True,False,True,High Frequency,HIGH
209,2026-09-24 02:27:21.664095+00:00,aa:bb:cc:dd:ee:99,27,12,101.26582765582462,True,False,True,High Frequency,HIGH
210,2026-09-24 02:27:21.674095+00:00,aa:bb:cc:dd:ee:99,31,16,101.26582765582462,True,False,True,High Frequency,HIGH
211,2026-09-24 02:27:21.684095+00:00,aa:bb:cc:dd:ee:99,34,19,101.26582765582462,True,False,True,High Frequency,HIGH
212,2026-09-24 02:27:21.694095+00:00,aa:bb:cc:dd:ee:99,35,20,101.26582765582462,True,False,True,High Frequency,HIGH
213,2026-09-24 02:27:21.704095+00:00,aa:bb:cc:dd:ee:99,35,20,101.26582765582462,True,False,True,High Frequency,HIGH
214,2026-09-24 02:27:21.714095+00:00,aa:bb:cc:dd:ee:99,27,12,101.26582765582462,True,False,True,High Frequency,HIGH
215,2026-09-24 02:27:21.724095+00:00,aa:bb:cc:dd:ee:99,35,20,101.26582765582462,True,False,True,High Frequency,HIGH
216,2026-09-24 02:27:21.734095+00:00,aa:bb:cc:dd:ee:99,27,12,101.26582765582462,True,False,True,High Frequency,HIGH
217,2026-09-24 02:27:21.744095+00:00,aa:bb:cc:dd:ee:99,31,16,101.26582765582462,True,False,True,High Frequency,HIGH
218,2026-09-24 02:27:21.754095+00:00,aa:bb:cc:dd:ee:99,30,15,101.26582765582462,True,False,True,High Frequency,HIGH
219,2026-09-24 02:27:21.764095+00:00,aa:bb:cc:dd:ee:99,30,15,101.26582765582462,True,False,True,High Frequency,HIGH
